UM Physics 135 Midterm 1 Fall 12 Problem 01,1,https://docs.google.com/document/d/1LeGxtzK7NbTQB40YU_154Eht33HIBT6XmSDYUdyFKLU/pub,3,5
UM Physics 135 Midterm 1 Fall 12 Problem 02,1,https://docs.google.com/document/d/19CGqSp83DRSxoSHluEJNcS_xd_RtjlGkVmIAPW6M91g/pub,4,5
UM Physics 135 Midterm 1 Fall 12 Problem 03,1,https://docs.google.com/document/d/1T5s72syUu7nzarqNt2Da6WBZhBDve4sTkmkwBHcC3U4/pub,2,5
UM Physics 135 Midterm 1 Fall 12 Problem 04,1,https://docs.google.com/document/d/1acHmAYbD7cXq1fy8OppesPcqqvneym4F2Au1I5w57T8/pub,5,5
UM Physics 135 Midterm 1 Fall 12 Problem 05,1,https://docs.google.com/document/d/1uAg0h8k17S7CbZeK-zP1e83GLG2icdgb-vV4WSpeww4/pub,3,5
UM Physics 135 Midterm 1 Fall 12 Problem 06,1,https://docs.google.com/document/d/1JZXgSwPOvrI_NX2502nT68e40TIBC_vBCD0lCk76Ix4/pub,3,5
UM Physics 135 Midterm 1 Fall 12 Problem 07,1,https://docs.google.com/document/d/1QCskr2Gnc8BNlr287zrHsv9Tyx0K7U2bvj8kNWqFtvU/pub,4,5
UM Physics 135 Midterm 1 Fall 12 Problem 08,1,https://docs.google.com/document/d/10GKw2UW8O918DpmcnJ9ipV1y_hCH9_vL30vA4XABiKQ/pub,4,5
UM Physics 135 Midterm 1 Fall 12 Problem 09,1,https://docs.google.com/document/d/1b_SJ3HAWfLmzOfNvbbh5k8HbtDMPOk4vEJS6U91IBQk/pub,1,5
UM Physics 135 Midterm 1 Fall 12 Problem 10,1,https://docs.google.com/document/d/1Lc3NM0kaDLKWM-JA0suMpTyTgNJMJLCfVAX6FPpXHb8/pub,5,5
UM Physics 135 Midterm 1 Fall 12 Problem 11,1,https://docs.google.com/document/d/1TRXqTqGWNynWzCSZcbrSV7FAIrzUbqIX-w2mmhLRQ8o/pub,4,5
UM Physics 135 Midterm 1 Fall 12 Problem 12,1,https://docs.google.com/document/d/1PgzG3U3DMnhO2FSQfoqNVun5mFmJtVRYVqw3jfLhADI/pub,1,5
UM Physics 135 Midterm 1 Fall 12 Problem 13,1,https://docs.google.com/document/d/1njrL_r2Q7XW9R_jQ0xec8ywQpB_ijbGPWxrLYRaHF_4/pub,4,5
UM Physics 135 Midterm 1 Fall 12 Problem 14,1,https://docs.google.com/document/d/1Uf4jlVcANUZUFt8aQM9HivbjzxXCDLZqp9j0HKzCKxI/pub,1,5
UM Physics 135 Midterm 1 Fall 12 Problem 15,1,https://docs.google.com/document/d/1h5PTcJ6oRAc059V-GVkoGYcgKJN2NsCTqIt8RtUT9pE/pub,3,5
UM Physics 135 Midterm 1 Fall 12 Problem 16,1,https://docs.google.com/document/d/18nBcPMpddph_11JwOVqnKl1p6rFIsP-TApmV8vXqERQ/pub,2,5
UM Physics 135 Midterm 1 Fall 12 Problem 17,1,https://docs.google.com/document/d/1j770KWZCFU-_bjRG8o6ujb1IulpHVk0dEM9K0iqd3n4/pub,1,5
UM Physics 135 Midterm 1 Fall 12 Problem 18,1,https://docs.google.com/document/d/10vQvugVH_P6ADA3Yemqw4BR7TCrVyqiveDPCD5dwVMM/pub,2,5
UM Physics 135 Midterm 1 Fall 12 Problem 19,1,https://docs.google.com/document/d/1gQcjv7MM5gJSY6VI9JnuN_2xxn2NHPoY6SEwjmFmLpU/pub,2,5
UM Physics 135 Midterm 1 Fall 12 Problem 20,1,https://docs.google.com/document/d/1aSW9oCyUx4NM20T1FVkQJiYryeJu9H1Q36AQybLyEQM/pub,4,5
UM Physics 135 Midterm 1 Winter 12 Problem 01,1,https://docs.google.com/document/d/1WoCIP728PiS_VNXqnwxl55rgT00C29N10XHW-uNkCug/pub,5,5
UM Physics 135 Midterm 1 Winter 12 Problem 02,1,https://docs.google.com/document/d/1cfkE-9HgNoLAvkvAcdFus21bTugKU0Civteyb1ZIbBY/pub,4,5
UM Physics 135 Midterm 1 Winter 12 Problem 03,1,https://docs.google.com/document/d/1Y3E8yiKuUgImI7tFrF8KdcmRovTVS0XCSqbcdrIGsbs/pub,3,5
UM Physics 135 Midterm 1 Winter 12 Problem 04,1,https://docs.google.com/document/d/1A5nCnFUy3-NtnZdHfZX4byKqxZvDO1ljuuDIZTzZM3g/pub,3,5
UM Physics 135 Midterm 1 Winter 12 Problem 05,1,https://docs.google.com/document/d/1EnlATDv46rb8DVEUEPM76bznamRrNQbHR-xL0JGpPMI/pub,2,5
UM Physics 135 Midterm 1 Winter 12 Problem 06,1,https://docs.google.com/document/d/1TgGIB-_gsuXdhS0S7z95RSPs65X4zSfPdDZFvsuUTY8/pub,1,5
