UM Physics  235 Midterm 1 Winter 12 Problem 01,1,https://docs.google.com/document/d/1Zbhj96BsIuTDeDeQ87ypHrLWjgc8pqXL9MWr0iys7gQ/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 02,1,https://docs.google.com/document/d/1eMbdOspmiGjdF1Rbz7dcZulM9DYQOxh7NIJRCkPnh8E/pub,1,5
UM Physics  235 Midterm 1 Winter 12 Problem 03,1,https://docs.google.com/document/d/1xsKE-_9q3I_2VuR8bO1HQBtEty2AdBWMQ5pFi9cMzuM/pub,1,5
UM Physics  235 Midterm 1 Winter 12 Problem 04,1,https://docs.google.com/document/d/1zwCWA0gHayX4COM7tR6UYAYfdRqrNzFgBfcEi-dw8hc/pub,2,5
UM Physics  235 Midterm 1 Winter 12 Problem 05,1,https://docs.google.com/document/d/1c5_0cKA07xz5ITGuTUb3NriNbFKKtxs671bU_3X7mmQ/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 06,1,https://docs.google.com/document/d/1q-aqQ9AwtFKBWgdI3gZCN7MZ1Q1gQ2mA7mBHFnimod0/pub,4,5
UM Physics  235 Midterm 1 Winter 12 Problem 07,1,https://docs.google.com/document/d/1brAHQRNbY3SSlRLu6bZxeUAgGSZDOsiKTzjzqYLt8mw/pub,5,5
UM Physics  235 Midterm 1 Winter 12 Problem 08,1,https://docs.google.com/document/d/1RUtkszftLv-0fLMQ6cDv7m8UjJUrq7maoFjYTbFmH90/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 09,1,https://docs.google.com/document/d/11TddFWuff2s0P2thcJiRKDKA5NzEzH5t28T_Y9Drfko/pub,1,5
UM Physics  235 Midterm 1 Winter 12 Problem 10,1,https://docs.google.com/document/d/1awY4-ACpwyV344Qc1L44BE3BQHm5Q8Tc3Kl4rhiPIgU/pub,4,5
UM Physics  235 Midterm 1 Winter 12 Problem 11,1,https://docs.google.com/document/d/1kgeAobwPecmgLD2AfbsPQbGG0TOK7QsauD9TGgLDOnc/pub,4,5
UM Physics  235 Midterm 1 Winter 12 Problem 12,1,https://docs.google.com/document/d/1pDjBSY7ZXuDvxKiPMJqemmlhejsaCJR0Bs39d83X9ag/pub,5,5
UM Physics  235 Midterm 1 Winter 12 Problem 13,1,https://docs.google.com/document/d/1TlRYGESZPPMK4A0xLqhRQuf8v2OTAu4FEOq4_Gg3VI0/pub,5,5
UM Physics  235 Midterm 1 Winter 12 Problem 14,1,https://docs.google.com/document/d/1weLpGRYEsY5-LOuHlDTzpQktborvpQ4ckEs47bMYDKM/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 15,1,https://docs.google.com/document/d/1aMqmC8Fx80YJF3si_Y8tUGCQEgk7lYGeTmIsrzcjn6k/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 16,1,https://docs.google.com/document/d/1Yyy0IyFisKjTMKZ2qJI-e6dOJgDxIRGf_R-PiVS2trc/pub,4,5
UM Physics  235 Midterm 1 Winter 12 Problem 17,1,https://docs.google.com/document/d/15KXBAjaOXtURSowPwqO2alGTCtkYyeEOBIVdvMhiNo0/pub,2,5
UM Physics  235 Midterm 1 Winter 12 Problem 18,1,https://docs.google.com/document/d/1rOuvnxJVUjWBsVcs7btr3Qh09WDDRYNkjcMbFsID21Y/pub,3,5
UM Physics  235 Midterm 1 Winter 12 Problem 19,1,https://docs.google.com/document/d/1xUnqU_Hgmymc5oY0cU3Iz-U1Hsdb-bVWllzYLQywq0w/pub,2,5
UM Physics  235 Midterm 1 Winter 12 Problem 20,1,https://docs.google.com/document/d/1CLqTQDOxD7eqwaQfIVFH2J3Smz-PHd-MkRJFIpvaLCo/pub,1,5
UM Physics 235 Midterm 1 Fall 12 Problem 01,1,https://docs.google.com/document/d/17HlMhrVvp_m7dfGNhv3YmfG1cWRqSZfoZURrpkk3yb0/pub,4,5
UM Physics 235 Midterm 1 Fall 12 Problem 02,1,https://docs.google.com/document/d/1ecrzbvnT91YTuW5GDnnrJZ9KQ2r7gOBtcPJVNOoAJC8/pub,4,5
UM Physics 235 Midterm 1 Fall 12 Problem 03,1,https://docs.google.com/document/d/1k1XProKXoJgABdZhcmXOTLKqMK-CVcpN_M-9JfEOoFQ/pub,5,5
UM Physics 235 Midterm 1 Fall 12 Problem 04,1,https://docs.google.com/document/d/1X3YosS5YQm7Tjp8WnjBSoOZI_HC-VrPgTmBrrkhngcs/pub,3,5
UM Physics 235 Midterm 1 Fall 12 Problem 05,1,https://docs.google.com/document/d/1AkMDAKLr0JksGL03WUMZ-j94eq3KQxnntd4xvKUnN_o/pub,2,5
UM Physics 235 Midterm 1 Fall 12 Problem 06,1,https://docs.google.com/document/d/1_-8ftb1smtnPQCXIIR40z4RQDU6fNpFtHWcIzxq1v5A/pub,1,5
UM Physics 235 Midterm 1 Fall 12 Problem 07,1,https://docs.google.com/document/d/1YQuyK4LXn9tTjQoS4ipBasv3VvGZsA8JovctgAt1dOE/pub,1,5
UM Physics 235 Midterm 1 Fall 12 Problem 08,1,https://docs.google.com/document/d/1lGjsngeMPXpeH6EmkaWgKnkuiPwa_PxfZpff1Vbx9b0/pub,2,5
UM Physics 235 Midterm 1 Fall 12 Problem 09,1,https://docs.google.com/document/d/1XEouMeq74GlG_1wS7-U8dKKADY3ukRBCTJSx3NYIumI/pub,1,5
UM Physics 235 Midterm 1 Fall 12 Problem 10,1,https://docs.google.com/document/d/1Vv4CSleuLbm-zlYHDTOT7B-tK89XLfskB-X1cAkrhng/pub,2,5
UM Physics 235 Midterm 1 Fall 12 Problem 11,1,https://docs.google.com/document/d/1cUp0Axt5SvMOD1Mzoh8LhpzTYuIUV8tIoN6FaFSUWA8/pub,3,5
UM Physics 235 Midterm 1 Fall 12 Problem 12,1,https://docs.google.com/document/d/1zrQjTPrGxEmpzc_q1mfkxh01DuhfxTLFAZuPs4mhSV4/pub,3,5
